"inputName","outputName"
"Scirpus pungens","Schoenoplectus pungens"
"Scirpus monophyllus","Schoenoplectus pungens var. badius"
"Scirpus pungens ssp. monophyllus","Schoenoplectus pungens var. badius"
"Scirpus pungens var. 1","Schoenoplectus pungens var. badius"
"Scirpus americanus var. longispicatus","Schoenoplectus pungens var. longispicatus"
"Scirpus pungens var. longispicatus","Schoenoplectus pungens var. longispicatus"
"Scirpus pungens var. pungens","Schoenoplectus pungens var. pungens"
"Scirpus subterminalis","Schoenoplectus subterminalis"
"Schoenoplectus lacustris ssp. validus","Schoenoplectus tabernaemontani"
"Schoenoplectus validus","Schoenoplectus tabernaemontani"
"Scirpus tabernaemontani","Schoenoplectus tabernaemontani"
"Scirpus tabernaemontanii","Schoenoplectus tabernaemontani"
"Scirpus torreyi","Schoenoplectus torreyi"
"Scirpus triqueter","Schoenoplectus triqueter"
"Scirpus x kuekenthalianus","Schoenoplectus x carinatus"
"Scirpus x contortus","Schoenoplectus x contortus"
"Schoenoplectus x oblongatus","Schoenoplectus x oblongus"
"Scirpus x oblongus","Schoenoplectus x oblongus"
"Scirpus steinmetzii","Schoenoplectus x steinmetzii"
"Schoenus nigricans","Schoenus nigricans"
"Scilla sibirica","Scilla siberica"
"Scirpus holoschoenus","Scirpoides holoschoenus"
"Scirpus ancistrochaetus","Scirpus ancistrochaetus"
"Scirpus cyperinus var. brachypodus","Scirpus atrocinctus"
"Scirpus atrovirens","Scirpus atrovirens"
"Scirpus congdonii","Scirpus congdonii"
"Scirpus cyperinus","Scirpus cyperinus"
"Scirpus diffusus","Scirpus diffusus"
"Scirpus divaricatus","Scirpus divaricatus"
"Scirpus expansus","Scirpus expansus"
"Scirpus flaccidifolius","Scirpus flaccidifolius"
"Scirpus atrovirens var. georgianus","Scirpus georgianus"
"Scirpus hattorianus","Scirpus hattorianus"
"Scirpus lineatus","Scirpus lineatus"
"Scirpus longii","Scirpus longii"
"Scirpus microcarpus","Scirpus microcarpus"
"Scirpus pallidus","Scirpus pallidus"
"Scirpus pedicellatus","Scirpus pedicellatus"
"Scirpus pendulus","Scirpus pendulus"
"Scirpus polyphyllus","Scirpus polyphyllus"
"Scirpus x peckii","Scirpus x peckii"
"Scleria baldwinii","Scleria baldwinii"
"Scleria bourgeaui","Scleria bourgeaui"
"Scleria ciliata","Scleria ciliata"
"Scleria ciliata var. ciliata","Scleria ciliata var. ciliata"
"Scleria ciliata var. glabra","Scleria ciliata var. glabra"
"Scleria georgiana","Scleria georgiana"
"Scleria doradoensis","Scleria hirtella"
"Scleria interrupta","Scleria hirtella"
"Scleria lacustris","Scleria lacustris"
"Scleria lithosperma","Scleria lithosperma"
"Scleria lithosperma var. lithosperma","Scleria lithosperma var. lithosperma"
"Scleria microcarpa","Scleria microcarpa"
"Scleria minor","Scleria minor"
"Scleria muhlenbergii","Scleria muehlenbergii"
"Scleria reticularis var. pubescens","Scleria muehlenbergii"
"Scleria nutans","Scleria nutans"
"Scleria oligantha","Scleria oligantha"
"Scleria pauciflora","Scleria pauciflora"
"Scleria pauciflora var. caroliniana","Scleria pauciflora var. caroliniana"
"Scleria curtissii","Scleria pauciflora var. curtissii"
"Scleria pauciflora var. pauciflora","Scleria pauciflora var. pauciflora"
"Scleria reticularis var. reticularis","Scleria reticularis"
"Scleria testacea","Scleria testacea"
"Scleria triglomerata","Scleria triglomerata"
"Scleria verticillata","Scleria verticillata"
"Sclerochloa dura","Sclerochloa dura"
"Scleropogon brevifolius","Scleropogon brevifolius"
"Scoliopus bigelovii","Scoliopus bigelovii"
"Scoliopus hallii","Scoliopus hallii"
"Scolochloa festucacea","Scolochloa festucacea"
"Deschampsia bolanderi","Scribneria bolanderi"
"Secale cereale","Secale cereale"
"Secale montanum","Secale montanum"
"Serenoa serrulata","Serenoa repens"
"Setaria adhaerens","Setaria adhaerens"
"Setaria arizonica","Setaria arizonica"
"Setaria barbata","Setaria barbata"
"Paspalidium chapmanii","Setaria chapmanii"
"Setaria corrugata","Setaria corrugata"
"Setaria faberi","Setaria faberi"
"Panicum firmulum","Setaria firmula"
"Setaria reverchonii ssp. firmula","Setaria firmula"
"Setaria lutescens","Setaria glauca"
"Setaria pumila ssp. pumila","Setaria glauca"
"Setaria grisebachii","Setaria grisebachii"
"Setaria italica","Setaria italica"
"Setaria leucopila","Setaria leucopila"
"Setaria liebmannii","Setaria liebmannii"
"Setaria macrosperma","Setaria macrosperma"
"Setaria macrostachya","Setaria macrostachya"
"Setaria magna","Setaria magna"
"Setaria nigrirostris","Setaria nigrirostris"
"Setaria palmifolia","Setaria palmifolia"
"Setaria geniculata","Setaria parviflora"
"Setaria pumila ssp. pallidifusca","Setaria pumila"
"Setaria reverchonii ssp. ramiseta","Setaria ramiseta"
"Setaria rariflora","Setaria rariflora"
"Panicum reverchonii","Setaria reverchonii"
"Setaria reverchonii ssp. reverchonii","Setaria reverchonii"
"Setaria scheelei","Setaria scheelei"
"Setaria setosa","Setaria setosa"
"Setaria setosa var. setosa","Setaria setosa var. setosa"
"Setaria sphacelata","Setaria sphacelata"
"Setaria texana","Setaria texana"
"Setaria verticillata","Setaria verticillata"
"Setaria verticilliformis","Setaria verticillata var. ambigua"
"Setaria verticillata","Setaria verticillata var. verticillata"
"Setaria villosissima","Setaria villosissima"
"Setaria viridis","Setaria viridis"
"Setaria viridis var. major","Setaria viridis var. major"
"Setaria viridis var. viridis","Setaria viridis var. viridis"
"Sisyrinchium acre","Sisyrinchium acre"
"Sisyrinchium albidum","Sisyrinchium albidum"
"Sisyrinchium graminoides","Sisyrinchium angustifolium"
"Sisyrinchium arizonicum","Sisyrinchium arizonicum"
"Sisyrinchium atlanticum","Sisyrinchium atlanticum"
"Sisyrinchium bellum","Sisyrinchium bellum"
"Sisyrinchium biforme","Sisyrinchium biforme"
"Sisyrinchium calciphilum","Sisyrinchium calciphilum"
"Sisyrinchium californicum","Sisyrinchium californicum"
"Sisyrinchium campestre","Sisyrinchium campestre"
"Sisyrinchium capillare","Sisyrinchium capillare"
"Sisyrinchium cernuum","Sisyrinchium cernuum"
"Sisyrinchium demissum","Sisyrinchium demissum"
"Sisyrinchium dichotomum","Sisyrinchium dichotomum"
"Sisyrinchium elmeri","Sisyrinchium elmeri"
"Sisyrinchium chilense","Sisyrinchium ensigerum"
"Sisyrinchium funereum","Sisyrinchium funereum"
"Sisyrinchium fuscatum","Sisyrinchium fuscatum"
"Sisyrinchium halophilum","Sisyrinchium halophilum"
"Sisyrinchium hitchcockii","Sisyrinchium hitchcockii"
"Sisyrinchium idahoense","Sisyrinchium idahoense"
"Sisyrinchium idahoense var. idahoense","Sisyrinchium idahoense var. idahoense"
"Sisyrinchium idahoense var. macounii","Sisyrinchium idahoense var. macounii"
"Sisyrinchium idahoense var. occidentale","Sisyrinchium idahoense var. occidentale"
"Sisyrinchium idahoense var. segetum","Sisyrinchium idahoense var. segetum"
"Sisyrinchium langloisii","Sisyrinchium langloisii"
"Sisyrinchium littorale","Sisyrinchium littorale"
"Sisyrinchium longipes","Sisyrinchium longipes"
"Sisyrinchium miamiense","Sisyrinchium miamiense"
"Sisyrinchium minus","Sisyrinchium minus"
"Sisyrinchium montanum","Sisyrinchium montanum"
"Sisyrinchium montanum var. crebrum","Sisyrinchium montanum var. crebrum"
"Sisyrinchium montanum var. montanum","Sisyrinchium montanum var. montanum"
"Sisyrinchium mucronatum","Sisyrinchium mucronatum"
"Sisyrinchium nashii","Sisyrinchium nashii"
"Sisyrinchium pallidum","Sisyrinchium pallidum"
"Sisyrinchium radicatum","Sisyrinchium radicatum"
"Sisyrinchium rosulatum","Sisyrinchium rosulatum"
"Sisyrinchium sagittiferum","Sisyrinchium sagittiferum"
"Sisyrinchium sarmentosum","Sisyrinchium sarmentosum"
"Sisyrinchium septentrionale","Sisyrinchium septentrionale"
"Sisyrinchium xerophyllum","Sisyrinchium xerophyllum"
"Smilax auriculata","Smilax auriculata"
"Smilax ecirrhata var. biltmoreana","Smilax biltmoreana"
"Smilax bona-nox","Smilax bona-nox"
"Smilax californica","Smilax californica"
"Smilax coriacea","Smilax coriacea"
"Smilax ecirrata","Smilax ecirrhata"
"Smilax glauca","Smilax glauca"
"Smilax herbacea var. herbacea","Smilax herbacea"
"Smilax hugeri","Smilax hugeri"
"Smilax illinoensis","Smilax illinoensis"
"Smilax jamesii","Smilax jamesii"
"Smilax herbacea var. lasioneura","Smilax lasioneura"
"Smilax herbacea var. lasioneuron","Smilax lasioneura"
"Smilax lasioneuron","Smilax lasioneura"
"Smilax laurifolia","Smilax laurifolia"
"Smilax melastomifolia","Smilax melastomifolia"
"Smilax pseudochina","Smilax pseudochina"
"Smilax herbacea var. pulverulenta","Smilax pulverulenta"
"Smilax pumila","Smilax pumila"
"Smilax renifolia","Smilax renifolia"
"Smilax rotundifolia","Smilax rotundifolia"
"Smilax rotundifolia pop. 1","Smilax rotundifolia pop. 1"
"Smilax rotundifolia pop. 2","Smilax rotundifolia pop. 2"
"Smilax lanceolata","Smilax smallii"
"Smilax hispida","Smilax tamnoides"
"Smilax walteri","Smilax walteri"
"Sorghastrum apalachicolense","Sorghastrum apalachicolense"
"Sorghastrum elliottii","Sorghastrum elliottii"
"Sorghastrum nutans","Sorghastrum nutans"
"Sorghastrum secundum","Sorghastrum secundum"
"Sorghum x almum","Sorghum almum"
"Sorghum bicolor","Sorghum bicolor"
"Sorghum verticilliflorum","Sorghum bicolor ssp. arundinaceum"
"Sorghum bicolor var. bicolor","Sorghum bicolor ssp. bicolor"
"Sorghum bicolor ssp. x drummondii","Sorghum bicolor ssp. drummondii"
"Sorghum sudanense","Sorghum bicolor ssp. drummondii"
"Sorghum halepense","Sorghum halepense"
"Sparaxis tricolor","Sparaxis tricolor"
"Sparganium americanum","Sparganium americanum"
"Sparganium androcladum","Sparganium androcladum"
"Sparganium angustifolium","Sparganium angustifolium"
"Sparganium emersum","Sparganium emersum"
"Sparganium acaule","Sparganium emersum var. acaule"
"Sparganium emersum ssp. acaule","Sparganium emersum var. acaule"
"Sparganium emersum","Sparganium emersum var. emersum"
"Sparganium eurycarpum","Sparganium eurycarpum"
"Sparganium eurycarpum","Sparganium eurycarpum var. eurycarpum"
"Sparganium eurycarpum ssp. eurycarpum","Sparganium eurycarpum var. eurycarpum"
"Sparganium greenei","Sparganium eurycarpum var. greenei"
"Sparganium fluctuans","Sparganium fluctuans"
"Sparganium glomeratum","Sparganium glomeratum"
"Sparganium hyperboreum","Sparganium hyperboreum"
"Sparganium minimum","Sparganium natans"
"Sporobolus alterniflorus","Spartina alterniflora"
"Sporobolus anglicus","Spartina anglica"
"Spartina bakeri","Spartina bakeri"
"Sporobolus cynosuroides","Spartina cynosuroides"
"Sporobolus montevidensis","Spartina densiflora"
"Spartina foliosa","Spartina foliosa"
"Sporobolus hookerianus","Spartina gracilis"
"Spartina maritima","Spartina maritima"
"Sporobolus pumilus","Spartina patens"
"Sporobolus michauxianus","Spartina pectinata"
"Spartina spartinae","Spartina spartinae"
"Sporobolus x eatonianus","Spartina x caespitosa"
"Spartina x townsendii","Spartina x townsendii"
"Spathoglottis plicata","Spathoglottis plicata"
"Sphenopholis filiformis","Sphenopholis filiformis"
"Sphenopholis obtusata var. major","Sphenopholis intermedia"
"Sphenopholis longiflora","Sphenopholis longiflora"
"Sphenopholis nitida","Sphenopholis nitida"
"Sphenopholis obtusata var. obtusata","Sphenopholis obtusata"
"Trisetum pensylvanicum","Sphenopholis pensylvanica"
"Sphenopholis pallens","Sphenopholis x pallens"
"Spiranthes bightensis","Spiranthes bightensis"
"Spiranthes brevilabris var. brevilabris","Spiranthes brevilabris"
"Spiranthes lacera var. brevilabris","Spiranthes brevilabris"
"Spiranthes casei","Spiranthes casei"
"Spiranthes casei var. casei","Spiranthes casei var. casei"
"Spiranthes casei var. novaescotiae","Spiranthes casei var. novaescotiae"
"Spiranthes cernua","Spiranthes cernua"
"Dichromanthus cinnabarinus","Spiranthes cinnabarina"
"Deiregyne confusa","Spiranthes confusa"
"Beloglottis costaricensis","Spiranthes costaricensis"
"Cyclopogon cranichoides","Spiranthes cranichoides"
"Spiranthes delitescens","Spiranthes delitescens"
"Spiranthes romanzoffiana var. diluvialis","Spiranthes diluvialis"
"Spiranthes eatonii","Spiranthes eatonii"
"Cyclopogon elatus","Spiranthes elata"
"Spiranthes brevilabris var. floridana","Spiranthes floridana"
"Spiranthes igniorchis","Spiranthes igniorchis"
"Spiranthes infernalis","Spiranthes infernalis"
"Spiranthes lacera","Spiranthes lacera"
"Spiranthes gracilis","Spiranthes lacera var. gracilis"
"Spiranthes lacera var. lacera","Spiranthes lacera var. lacera"
"Spiranthes laciniata","Spiranthes laciniata"
"Sacoila lanceolata","Spiranthes lanceolata"
"Stenorrhynchos lanceolatum","Spiranthes lanceolata"
"Sacoila lanceolata var. lanceolata","Spiranthes lanceolata var. lanceolata"
"Sacoila lanceolata var. paludicola","Spiranthes lanceolata var. paludicola"
"Sacoila paludicola","Spiranthes lanceolata var. paludicola"
"Spiranthes longilabris","Spiranthes longilabris"
"Spiranthes lucida","Spiranthes lucida"
"Spiranthes magnicamporum","Spiranthes magnicamporum"
"Dichromanthus michuacanus","Spiranthes michuacana"
"Stenorrhynchos michuacanum","Spiranthes michuacana"
"Stenorrhynchos michuacanus","Spiranthes michuacana"
"Spiranthes ochroleuca","Spiranthes ochroleuca"
"Spiranthes cernua var. odorata","Spiranthes odorata"
"Spiranthes ovalis","Spiranthes ovalis"
"Spiranthes ovalis var. erostellata","Spiranthes ovalis var. erostellata"
"Spiranthes ovalis var. ovalis","Spiranthes ovalis var. ovalis"
"Spiranthes parksii","Spiranthes parksii"
"Spiranthes romanzoffiana var. porrifolia","Spiranthes porrifolia"
"Spiranthes praecox","Spiranthes praecox"
"Spiranthes romanzoffiana","Spiranthes romanzoffiana"
"Spiranthes tortilis","Spiranthes torta"
"Spiranthes tuberosa","Spiranthes tuberosa"
"Spiranthes vernalis","Spiranthes vernalis"
"Spiranthes x borealis","Spiranthes x borealis"
"Spiranthes x intermedia","Spiranthes x intermedia"
"Spiranthes x simpsonii","Spiranthes x simpsonii"
"Lemna polyrhiza","Spirodela polyrhiza"
"Spirodela polyrrhiza","Spirodela polyrhiza"
"Landoltia punctata","Spirodela punctata"
"Spirodela oligorrhiza","Spirodela punctata"
"Sporobolus airoides","Sporobolus airoides"
"Sporobolus buckleyi","Sporobolus buckleyi"
"Sporobolus clandestinus","Sporobolus clandestinus"
"Sporobolus compositus","Sporobolus compositus"
"Sporobolus compositus var. compositus","Sporobolus compositus var. compositus"
"Sporobolus asper var. drummondii","Sporobolus compositus var. drummondii"
"Sporobolus compositus var. macer","Sporobolus compositus var. macer"
"Sporobolus contractus","Sporobolus contractus"
"Sporobolus cryptandrus","Sporobolus cryptandrus"
"Sporobolus curtissii","Sporobolus curtissii"
"Sporobolus diandrus","Sporobolus diander"
"Sporobolus domingensis","Sporobolus domingensis"
"Sporobolus flexuosus","Sporobolus flexuosus"
"Sporobolus floridanus","Sporobolus floridanus"
"Sporobolus giganteus","Sporobolus giganteus"
"Sporobolus heterolepis","Sporobolus heterolepis"
"Sporobolus indicus","Sporobolus indicus"
"Sporobolus africanus","Sporobolus indicus var. capensis"
"Sporobolus indicus var. indicus","Sporobolus indicus var. indicus"
"Sporobolus pyramidalis","Sporobolus indicus var. pyramidalis"
"Sporobolus interruptus","Sporobolus interruptus"
"Sporobolus jacquemontii","Sporobolus jacquemontii"
"Sporobolus junceus","Sporobolus junceus"
"Sporobolus nealleyi","Sporobolus nealleyi"
"Sporobolus neglectus","Sporobolus neglectus"
"Sporobolus pinetorum","Sporobolus pinetorum"
"Sporobolus purpurascens","Sporobolus purpurascens"
"Sporobolus coromandelianus","Sporobolus pyramidatus"
"Sporobolus silveanus","Sporobolus silveanus"
"Sporobolus tenuissimus","Sporobolus tenuissimus"
"Sporobolus teretifolius sensu stricto","Sporobolus teretifolius"
"Sporobolus texanus","Sporobolus texanus"
"Sporobolus tharpii","Sporobolus tharpii"
"Sporobolus vaginiflorus","Sporobolus vaginiflorus"
"Sporobolus neglectus var. ozarkanus","Sporobolus vaginiflorus var. ozarkanus"
"Sporobolus ozarkanus","Sporobolus vaginiflorus var. ozarkanus"
"Sporobolus vaginiflorus","Sporobolus vaginiflorus var. vaginiflorus"
"Sporobolus vaginiflorus ssp. vaginiflorus","Sporobolus vaginiflorus var. vaginiflorus"
"Sporobolus virginicus","Sporobolus virginicus"
"Sporobolus airoides var. wrightii","Sporobolus wrightii"
"Panicum hians","Steinchisma hians"
"Zigadenus densus","Stenanthium densum"
"Stenanthium diffusum","Stenanthium diffusum"
"Stenanthium gramineum","Stenanthium gramineum"
"Stenanthium gramineum var. gramineum","Stenanthium gramineum var. gramineum"
"Stenanthium robustum","Stenanthium gramineum var. robustum"
"Zigadenus leimanthoides","Stenanthium leimanthoides"
"Anticlea occidentalis","Stenanthium occidentale"
"Stenanthium tennesseense","Stenanthium tennesseense"
"Stenanthium macrum","Stenanthium texanum"
"Stenotaphrum secundatum","Stenotaphrum secundatum"
"Stratiotes aloides","Stratiotes aloides"
"Streptopus amplexifolius","Streptopus amplexifolius"
"Streptopus roseus","Streptopus lanceolatus"
"Streptopus streptopoides","Streptopus streptopoides"
"Streptopus x oreopolus","Streptopus x oreopolus"
"Potamogeton filiformis","Stuckenia filiformis"
"Coleogeton filiformis ssp. alpinus","Stuckenia filiformis ssp. alpina"
"Potamogeton filiformis var. alpinus","Stuckenia filiformis ssp. alpina"
"Stuckenia filiformis ssp. alpinus","Stuckenia filiformis ssp. alpina"
"Stuckenia filiformis var. alpina","Stuckenia filiformis ssp. alpina"
"Potamogeton filiformis var. filiformis","Stuckenia filiformis ssp. filiformis"
"Coleogeton filiformis ssp. occidentalis","Stuckenia filiformis ssp. occidentalis"
"Potamogeton filiformis var. occidentalis","Stuckenia filiformis ssp. occidentalis"
"Stuckenia filiformis var. occidentalis","Stuckenia filiformis ssp. occidentalis"
"Potamogeton pectinatus","Stuckenia pectinata"
"Potamogeton latifolius","Stuckenia striata"
"Potamogeton striatus","Stuckenia striata"
"Potamogeton vaginatus","Stuckenia vaginata"
"Potamogeton x suecicus","Stuckenia x suecica"
"Ectosperma alexandrae","Swallenia alexandrae"
"Symplocarpus foetidus","Symplocarpus foetidus"
"Syngonanthus flavidulus","Syngonanthus flavidulus"
"Syngonium angustatum","Syngonium angustatum"
"Syngonium podophyllum","Syngonium podophyllum"
"Cymodocea filiformis","Syringodium filiforme"
"Tacca leontopetaloides","Tacca leontopetaloides"
"Taeniatherum caput-medusae","Taeniatherum caput-medusae"
"Thalassia testudina","Thalassia testudinum"
"Thalia dealbata","Thalia dealbata"
"Thalia geniculata","Thalia geniculata"
"Themeda quadrivalvis","Themeda quadrivalvis"
"Themeda villosa","Themeda villosa"
"Agropyron intermedium","Thinopyrum intermedium"
"Elytrigia intermedia","Thinopyrum intermedium"
"Elytrigia juncea","Thinopyrum junceiforme"
"Thinopyrum junceum","Thinopyrum junceiforme"
"Thinopyrum obtusiflorum","Thinopyrum ponticum"
"Thinopyrum pungens","Thinopyrum pycnanthum"
"Thismia americana","Thismia americana"
"Leucothrinax morrisii","Thrinax morrisii"
"Thrinax radiata","Thrinax radiata"
"Thuarea involuta","Thuarea involuta"
"Tillandsia baileyi","Tillandsia baileyi"
"Tillandsia balbisiana","Tillandsia balbisiana"
"Tillandsia bartramii","Tillandsia bartramii"
"Tillandsia fasciculata","Tillandsia fasciculata"
"Tillandsia fasciculata var. clavispica","Tillandsia fasciculata var. clavispica"
"Tillandsia fasciculata var. densispica","Tillandsia fasciculata var. densispica"
"Tillandsia fasciculata var. fasciculata","Tillandsia fasciculata var. fasciculata"
"Tillandsia flexuosa","Tillandsia flexuosa"
"Tillandsia paucifolia","Tillandsia paucifolia"
"Tillandsia pruinosa","Tillandsia pruinosa"
"Tillandsia recurvata","Tillandsia recurvata"
"Tillandsia setacea","Tillandsia setacea"
"Tillandsia tenuifolia","Tillandsia tenuifolia"
"Tillandsia usneoides","Tillandsia usneoides"
"Tillandsia utriculata","Tillandsia utriculata"
"Tillandsia valenzuelana","Tillandsia variabilis"
"Tillandsia floridana","Tillandsia x floridana"
"Tillandsia x smalliana","Tillandsia x smalliana"
"Commelinantia anomala","Tinantia anomala"
"Tipularia discolor","Tipularia discolor"
"Tofieldia coccinea","Tofieldia coccinea"
"Tofieldia glabra","Tofieldia glabra"
"Tofieldia pusilla","Tofieldia pusilla"
"Oncidium bahamense","Tolumnia bahamensis"
"Puccinellia californica","Torreyochloa californica"
"Torreyochloa erecta","Torreyochloa erecta"
"Glyceria pallida","Torreyochloa pallida"
"Puccinellia pallida","Torreyochloa pallida"
"Glyceria fernaldii","Torreyochloa pallida var. fernaldii"
"Puccinellia fernaldii","Torreyochloa pallida var. fernaldii"
"Torreyochloa fernaldii","Torreyochloa pallida var. fernaldii"
"Torreyochloa pallida var. pallida","Torreyochloa pallida var. pallida"
"Puccinellia pauciflora","Torreyochloa pallida var. pauciflora"
"Torreyochloa pauciflora","Torreyochloa pallida var. pauciflora"
"Torreyochloa pauciflora var. holmii","Torreyochloa pallida var. pauciflora"
"Zigadenus nuttallii","Toxicoscordion nuttallii"
"Trachypogon spicatus","Trachypogon spicatus"
"Tradescantia bracteata","Tradescantia bracteata"
"Tradescantia brevifolia","Tradescantia brevifolia"
"Tradescantia buckleyi","Tradescantia buckleyi"
"Tradescantia crassifolia","Tradescantia crassifolia"
"Tradescantia crassula","Tradescantia crassula"
"Tradescantia edwardsiana","Tradescantia edwardsiana"
"Tradescantia ernestiana","Tradescantia ernestiana"
"Tradescantia fluminensis","Tradescantia fluminensis"
"Tradescantia gigantea","Tradescantia gigantea"
"Tradescantia hirsuticaulis","Tradescantia hirsuticaulis"
"Tradescantia hirsutiflora","Tradescantia hirsutiflora"
"Tradescantia humilis","Tradescantia humilis"
"Tradescantia leiandra","Tradescantia leiandra"
"Tradescantia leiandra var. glandulosa","Tradescantia leiandra var. glandulosa"
"Tradescantia leiandra var. leiandra","Tradescantia leiandra var. leiandra"
"Tradescantia longipes","Tradescantia longipes"
"Tradescantia occidentalis","Tradescantia occidentalis"
"Tradescantia occidentalis var. melanthera","Tradescantia occidentalis var. melanthera"
"Tradescantia occidentalis var. occidentalis","Tradescantia occidentalis var. occidentalis"
"Tradescantia occidentalis var. scopulorum","Tradescantia occidentalis var. scopulorum"
"Tradescantia ohiensis","Tradescantia ohiensis"
"Tradescantia ozarkana","Tradescantia ozarkana"
"Setcreasea purpurea","Tradescantia pallida"
"Tradescantia ohioensis var. paludosa","Tradescantia paludosa"
"Tradescantia pedicellata","Tradescantia pedicellata"
"Tradescantia pinetorum","Tradescantia pinetorum"
"Tradescantia reverchonii","Tradescantia reverchonii"
"Tradescantia roseolens","Tradescantia roseolens"
"Rhoeo spathacea","Tradescantia spathacea"
"Tradescantia subacaulis","Tradescantia subacaulis"
"Tradescantia subaspera","Tradescantia subaspera"
"Tradescantia subaspera var. montana","Tradescantia subaspera var. montana"
"Tradescantia subaspera var. subaspera","Tradescantia subaspera var. subaspera"
"Tradescantia tharpii","Tradescantia tharpii"
"Tradescantia virginiana","Tradescantia virginiana"
"Tradescantia wrightii","Tradescantia wrightii"
"Tradescantia wrightii var. glandulopubescens","Tradescantia wrightii var. glandulopubescens"
"Tradescantia wrightii var. wrightii","Tradescantia wrightii var. wrightii"
"Tradescantia x diffusa","Tradescantia x diffusa"
"Zebrina pendula","Tradescantia zebrina"
"Tragus berteronianus","Tragus berteronianus"
"Tragus racemosus","Tragus racemosus"
"Tofieldia glutinosa","Triantha glutinosa"
"Tofieldia glutinosa ssp. glutinosa","Triantha glutinosa"
"Triantha glutinosa ssp. glutinosa","Triantha glutinosa"
"Tofieldia glutinosa ssp. occidentalis","Triantha occidentalis"
"Tofieldia occidentalis","Triantha occidentalis"
"Tofieldia glutinosa ssp. brevistyla","Triantha occidentalis ssp. brevistyla"
"Tofieldia glutinosa var. brevistyla","Triantha occidentalis ssp. brevistyla"
"Tofieldia glutinosa ssp. montana","Triantha occidentalis ssp. montana"
"Tofieldia glutinosa var. montana","Triantha occidentalis ssp. montana"
"Tofieldia glutinosa ssp. occidentalis","Triantha occidentalis ssp. occidentalis"
"Tofieldia racemosa","Triantha racemosa"
"Trichoneura elegans","Trichoneura elegans"
"Eriophorum alpinum","Trichophorum alpinum"
"Scirpus hudsonianus","Trichophorum alpinum"
"Scirpus cespitosus","Trichophorum cespitosum"
"Trichophorum caespitosum","Trichophorum cespitosum"
"Trichophorum cespitosum ssp. cespitosum","Trichophorum cespitosum"
"Scirpus clementis","Trichophorum clementis"
"Scirpus clintonii","Trichophorum clintonii"
"Scirpus verecundus","Trichophorum planifolium"
"Scirpus pumilus","Trichophorum pumilum"
"Trichophorum pumilum var. rollandii","Trichophorum pumilum"
"Tricyrtis hirta","Tricyrtis hirta"
"Tridens albescens","Tridens albescens"
"Tridens ambiguus","Tridens ambiguus"
"Tridens buckleyanus","Tridens buckleyanus"
"Tridens carolinianus","Tridens carolinianus"
"Tridens congestus","Tridens congestus"
"Tridens eragrostoides","Tridens eragrostoides"
"Triodia flava","Tridens flavus"
"Tridens chapmanii","Tridens flavus var. chapmanii"
"Tridens flavus","Tridens flavus var. flavus"
"Tridentopsis mutica","Tridens muticus"
"Tridens elongatus","Tridens muticus var. elongatus"
"Tridens muticus var. muticus","Tridens muticus var. muticus"
"Tridens strictus","Tridens strictus"
"Tridens texanus","Tridens texanus"
"Tridens oklahomensis","Tridens x oklahomensis"
"Triglochin concinna var. concinna","Triglochin concinna"
"Triglochin gaspense","Triglochin gaspensis"
"Triglochin maritimum","Triglochin maritima"
"Triglochin palustre","Triglochin palustris"
"Triglochin striata","Triglochin striata"
"Trillium undulatum","Trillidium undulatum"
"Trillium albidum","Trillium albidum"
"Trillium albidum","Trillium albidum ssp. albidum"
"Trillium parviflorum","Trillium albidum ssp. parviflorum"
"Trillium angustipetalum","Trillium angustipetalum"
"Trillium catesbyi","Trillium catesbaei"
"Trillium cernuum","Trillium cernuum"
"Trillium chloropetalum","Trillium chloropetalum"
"Trillium crassifolium","Trillium crassifolium"
"Trillium cuneatum","Trillium cuneatum"
"Trillium decipiens","Trillium decipiens"
"Trillium decumbens","Trillium decumbens"
"Trillium delicatum","Trillium delicatum"
"Trillium discolor","Trillium discolor"
"Trillium erectum","Trillium erectum"
"Trillium gleasonii","Trillium flexipes"
"Trillium foetidissimum","Trillium foetidissimum"
"Trillium georgianum","Trillium georgianum"
"Trillium gracile","Trillium gracile"
"Trillium grandiflorum","Trillium grandiflorum"
"Trillium ovatum var. hibbersonii","Trillium hibbersonii"
"Trillium sp. 1","Trillium hibbersonii"
"Trillium kurabayashii","Trillium kurabayashii"
"Trillium lanceolatum","Trillium lancifolium"
"Trillium ludovicianum","Trillium ludovicianum"
"Trillium luteum","Trillium luteum"
"Trillium maculatum","Trillium maculatum"
"Trillium nivale","Trillium nivale"
"Trillium oostingii","Trillium oostingii"
"Trillium ovatum","Trillium ovatum"
"Trillium oettingeri","Trillium ovatum var. oettingeri"
"Trillium ovatum ssp. oettingeri","Trillium ovatum var. oettingeri"
"Trillium ovatum","Trillium ovatum var. ovatum"
"Trillium ovatum ssp. ovatum","Trillium ovatum var. ovatum"
"Trillium persistens","Trillium persistens"
"Trillium petiolatum","Trillium petiolatum"
"Trillium pusillum","Trillium pusillum"
"Trillium pusillum var. monticola","Trillium pusillum var. monticulum"
"Trillium ozarkanum","Trillium pusillum var. ozarkanum"
"Trillium pusillum var. pusillum","Trillium pusillum var. pusillum"
"Trillium virginianum","Trillium pusillum var. virginianum"
"Trillium recurvatum","Trillium recurvatum"
"Trillium reliquum","Trillium reliquum"
